"SKU","Name","ArteVenue Category","Price(Excluding tax)","Tax(in amt)","Length","Width","Quantity","Description","Image URL","Additional Information","Image Thumbnail URL"
"5072","Bel Air 1","Abstract","1840.00","197.00","18.00","18.00","1","","C:\artevenue\estore/artevenue//static/homelane_data/images/49_1AU4572_lowres.jpg","Print on PAPER; Image Print Size : 12 X 12; Frame: Simple Black (1.22inch); Mount: 2.00, Color: OFFWHITE; Total Size: 18.00 X 18.00; Acrylic covered; ","C:\artevenue\estore/artevenue//static/homelane_data/images/49_1AU4572_thumb.jpg"
"5071","Circle Carnival II","Abstract","7050.00","755.00","29.00","29.00","1","","C:\artevenue\estore/artevenue//static/homelane_data/images/49_1AK1300_lowres.jpg","Print on PAPER; Image Print Size : 24 X 24; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 29.00; Acrylic covered; ","C:\artevenue\estore/artevenue//static/homelane_data/images/49_1AK1300_thumb.jpg"
"5069","Untitled, 1916","Abstract","7050.00","755.00","29.00","29.00","1","","C:\artevenue\estore/artevenue//static/homelane_data/images/49_1AA4636_lowres.jpg","Print on PAPER; Image Print Size : 24 X 24; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 29.00; Acrylic covered; ","C:\artevenue\estore/artevenue//static/homelane_data/images/49_1AA4636_thumb.jpg"
"5070","Circle Carnival I","Abstract","1840.00","197.00","18.00","18.00","1","","C:\artevenue\estore/artevenue//static/homelane_data/images/49_1AK1299_lowres.jpg","Print on PAPER; Image Print Size : 12 X 12; Frame: Simple Black (1.22inch); Mount: 2.00, Color: OFFWHITE; Total Size: 18.00 X 18.00; Acrylic covered; ","C:\artevenue\estore/artevenue//static/homelane_data/images/49_1AK1299_thumb.jpg"
"5073","Bel Air 2","Abstract","7050.00","755.00","29.00","29.00","1","","","Print on PAPER; Image Print Size : 24 X 24; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 29.00; Acrylic covered; ",""
"5074","Moon Rising from the Crimson Sky I","Abstract","1840.00","197.00","18.00","18.00","1","","","Print on PAPER; Image Print Size : 12 X 12; Frame: Simple Black (1.22inch); Mount: 2.00, Color: OFFWHITE; Total Size: 18.00 X 18.00; Acrylic covered; ",""
"5075","Moon Rising from the Crimson Sky II","Abstract","7050.00","755.00","29.00","29.00","1","","","Print on PAPER; Image Print Size : 24 X 24; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 29.00; Acrylic covered; ",""
"5076","Oceanside I","Abstract","1840.00","197.00","18.00","18.00","1","","","Print on PAPER; Image Print Size : 12 X 12; Frame: Simple Black (1.22inch); Mount: 2.00, Color: OFFWHITE; Total Size: 18.00 X 18.00; Acrylic covered; ",""
"5077","Oceanside II","Abstract","7050.00","755.00","29.00","29.00","1","","","Print on PAPER; Image Print Size : 24 X 24; Frame: Dark Wood (1.80inch); Mount: 1.00, Color: OFFWHITE; Total Size: 29.00 X 29.00; Acrylic covered; ",""
"5078","Plage I","Abstract","1840.00","197.00","18.00","18.00","1","","","Print on PAPER; Image Print Size : 12 X 12; Frame: Simple Black (1.22inch); Mount: 2.00, Color: OFFWHITE; Total Size: 18.00 X 18.00; Acrylic covered; ",""
