curated_category_id,product_id,product_type
14,122843,STOCK-IMAGE
14,270403,STOCK-IMAGE
14,34299,STOCK-IMAGE
14,270400,STOCK-IMAGE
14,34300,STOCK-IMAGE
14,270402,STOCK-IMAGE
14,270401,STOCK-IMAGE
14,124243,STOCK-IMAGE
14,101922,STOCK-IMAGE
14,174891,STOCK-IMAGE
14,201998,STOCK-IMAGE
14,34338,STOCK-IMAGE
14,34339,STOCK-IMAGE
14,121915,STOCK-IMAGE
14,264092,STOCK-IMAGE
14,264103,STOCK-IMAGE
14,247065,STOCK-IMAGE
14,247068,STOCK-IMAGE
14,247069,STOCK-IMAGE
14,247381,STOCK-IMAGE
14,247382,STOCK-IMAGE
14,247158,STOCK-IMAGE
14,247159,STOCK-IMAGE
14,286423,STOCK-IMAGE
14,286424,STOCK-IMAGE
14,286425,STOCK-IMAGE
14,286426,STOCK-IMAGE
14,311621,STOCK-IMAGE
14,311622,STOCK-IMAGE
14,329782,STOCK-IMAGE
14,49980,STOCK-IMAGE
14,49981,STOCK-IMAGE
14,49982,STOCK-IMAGE
14,50447,STOCK-IMAGE
14,50448,STOCK-IMAGE
14,57739,STOCK-IMAGE
14,60437,STOCK-IMAGE
14,60438,STOCK-IMAGE
14,60439,STOCK-IMAGE
14,60440,STOCK-IMAGE
14,60441,STOCK-IMAGE
14,60442,STOCK-IMAGE
14,60443,STOCK-IMAGE
14,155495,STOCK-IMAGE
14,155496,STOCK-IMAGE
14,210316,STOCK-IMAGE
14,210317,STOCK-IMAGE
14,258820,STOCK-IMAGE
14,258821,STOCK-IMAGE
14,258822,STOCK-IMAGE
14,258823,STOCK-IMAGE
14,275011,STOCK-IMAGE
14,275012,STOCK-IMAGE
14,301624,STOCK-IMAGE
14,301625,STOCK-IMAGE
14,301626,STOCK-IMAGE
14,301627,STOCK-IMAGE
14,301651,STOCK-IMAGE
14,301652,STOCK-IMAGE
14,301673,STOCK-IMAGE
14,301674,STOCK-IMAGE
14,301675,STOCK-IMAGE
14,301676,STOCK-IMAGE
14,301958,STOCK-IMAGE
14,301959,STOCK-IMAGE
14,314057,STOCK-IMAGE
14,314058,STOCK-IMAGE
14,314059,STOCK-IMAGE
14,314060,STOCK-IMAGE
14,326148,STOCK-IMAGE
14,326149,STOCK-IMAGE
14,328552,STOCK-IMAGE
14,328553,STOCK-IMAGE
14,328814,STOCK-IMAGE
14,328815,STOCK-IMAGE
14,328818,STOCK-IMAGE
14,328819,STOCK-IMAGE
14,328849,STOCK-IMAGE
14,328850,STOCK-IMAGE
14,326141,STOCK-IMAGE
14,326142,STOCK-IMAGE
14,185487,STOCK-IMAGE
14,92712,STOCK-IMAGE
14,271778,STOCK-IMAGE
14,271779,STOCK-IMAGE
14,271780,STOCK-IMAGE
14,240615,STOCK-IMAGE
14,333963,STOCK-IMAGE
14,333964,STOCK-IMAGE
14,333985,STOCK-IMAGE
14,333986,STOCK-IMAGE
14,39904,STOCK-IMAGE
14,39905,STOCK-IMAGE
14,24271,STOCK-IMAGE
14,24272,STOCK-IMAGE
14,51821,STOCK-IMAGE
14,51819,STOCK-IMAGE
14,51810,STOCK-IMAGE
14,51822,STOCK-IMAGE
14,51974,STOCK-IMAGE
14,51973,STOCK-IMAGE
14,122842,STOCK-IMAGE
15,14130,STOCK-IMAGE
15,978,STOCK-IMAGE
15,537,STOCK-IMAGE
15,14353,STOCK-IMAGE
15,14355,STOCK-IMAGE
15,24776,STOCK-IMAGE
15,145325,STOCK-IMAGE
15,145334,STOCK-IMAGE
15,145343,STOCK-IMAGE
15,145346,STOCK-IMAGE
15,145355,STOCK-IMAGE
15,145361,STOCK-IMAGE
15,145363,STOCK-IMAGE
15,145376,STOCK-IMAGE
15,145560,STOCK-IMAGE
15,145561,STOCK-IMAGE
15,145576,STOCK-IMAGE
15,219429,STOCK-IMAGE
15,219431,STOCK-IMAGE
15,282606,STOCK-IMAGE
15,257195,STOCK-IMAGE
15,246646,STOCK-IMAGE
15,13053,STOCK-IMAGE
15,198686,STOCK-IMAGE
15,198687,STOCK-IMAGE
15,198688,STOCK-IMAGE
15,12152,STOCK-IMAGE
15,309084,STOCK-IMAGE
15,81381,STOCK-IMAGE
15,81377,STOCK-IMAGE
15,66133,STOCK-IMAGE
15,254820,STOCK-IMAGE
15,278243,STOCK-IMAGE
15,278247,STOCK-IMAGE
15,282766,STOCK-IMAGE
15,282783,STOCK-IMAGE
15,184454,STOCK-IMAGE
15,74682,STOCK-IMAGE
15,278345,STOCK-IMAGE
15,140095,STOCK-IMAGE
15,66039,STOCK-IMAGE
15,66258,STOCK-IMAGE
15,244006,STOCK-IMAGE
15,225204,STOCK-IMAGE
