curated_category_id,stock_image_id,product_type_id
124,300703,STOCK-IMAGE
124,300885,STOCK-IMAGE
124,300886,STOCK-IMAGE
124,300989,STOCK-IMAGE
124,301567,STOCK-IMAGE
124,189129,STOCK-IMAGE
124,189130,STOCK-IMAGE
124,189131,STOCK-IMAGE
124,189132,STOCK-IMAGE
124,267798,STOCK-IMAGE
124,267799,STOCK-IMAGE
124,267800,STOCK-IMAGE
124,267751,STOCK-IMAGE
124,267752,STOCK-IMAGE
124,267753,STOCK-IMAGE
124,267754,STOCK-IMAGE
124,267755,STOCK-IMAGE
124,267756,STOCK-IMAGE
124,267757,STOCK-IMAGE
124,267758,STOCK-IMAGE
124,267759,STOCK-IMAGE
124,93208,STOCK-IMAGE
124,267760,STOCK-IMAGE
124,314657,STOCK-IMAGE
124,314658,STOCK-IMAGE
124,283105,STOCK-IMAGE
124,283106,STOCK-IMAGE
124,283107,STOCK-IMAGE
124,306779,STOCK-IMAGE
124,306780,STOCK-IMAGE
124,306781,STOCK-IMAGE
124,306782,STOCK-IMAGE
124,306783,STOCK-IMAGE
124,306784,STOCK-IMAGE
124,306785,STOCK-IMAGE
124,306786,STOCK-IMAGE
124,306787,STOCK-IMAGE
124,306788,STOCK-IMAGE
124,306789,STOCK-IMAGE
124,306793,STOCK-IMAGE
124,306794,STOCK-IMAGE
124,282833,STOCK-IMAGE
124,277579,STOCK-IMAGE
124,277580,STOCK-IMAGE
124,300702,STOCK-IMAGE
125,300593,STOCK-IMAGE
125,199433,STOCK-IMAGE
125,199434,STOCK-IMAGE
125,199435,STOCK-IMAGE
125,232353,STOCK-IMAGE
125,232354,STOCK-IMAGE
125,232355,STOCK-IMAGE
125,307951,STOCK-IMAGE
125,307952,STOCK-IMAGE
125,174347,STOCK-IMAGE
125,174348,STOCK-IMAGE
125,218282,STOCK-IMAGE
125,218283,STOCK-IMAGE
125,310084,STOCK-IMAGE
125,270684,STOCK-IMAGE
125,270685,STOCK-IMAGE
125,307338,STOCK-IMAGE
125,307339,STOCK-IMAGE
125,307366,STOCK-IMAGE
125,307367,STOCK-IMAGE
125,227960,STOCK-IMAGE
125,227959,STOCK-IMAGE
125,227958,STOCK-IMAGE
125,227957,STOCK-IMAGE
125,227956,STOCK-IMAGE
125,227955,STOCK-IMAGE
125,227954,STOCK-IMAGE
125,227953,STOCK-IMAGE
125,227462,STOCK-IMAGE
125,227461,STOCK-IMAGE
125,335932,STOCK-IMAGE
125,335931,STOCK-IMAGE
125,237817,STOCK-IMAGE
125,237818,STOCK-IMAGE
125,237819,STOCK-IMAGE
125,248430,STOCK-IMAGE
125,248431,STOCK-IMAGE
125,248432,STOCK-IMAGE
125,248433,STOCK-IMAGE
125,248434,STOCK-IMAGE
125,248435,STOCK-IMAGE
125,248436,STOCK-IMAGE
125,248437,STOCK-IMAGE
125,248438,STOCK-IMAGE
125,248439,STOCK-IMAGE
125,248440,STOCK-IMAGE
125,265495,STOCK-IMAGE
125,265496,STOCK-IMAGE
125,265494,STOCK-IMAGE
125,174845,STOCK-IMAGE
125,174846,STOCK-IMAGE
125,183141,STOCK-IMAGE
125,183142,STOCK-IMAGE
125,183143,STOCK-IMAGE
125,183144,STOCK-IMAGE
125,209333,STOCK-IMAGE
125,209334,STOCK-IMAGE
125,228851,STOCK-IMAGE
125,228852,STOCK-IMAGE
125,228853,STOCK-IMAGE
125,228882,STOCK-IMAGE
125,228883,STOCK-IMAGE
125,228884,STOCK-IMAGE
125,228885,STOCK-IMAGE
125,229035,STOCK-IMAGE
125,229036,STOCK-IMAGE
125,229321,STOCK-IMAGE
125,229322,STOCK-IMAGE
125,229934,STOCK-IMAGE
125,229935,STOCK-IMAGE
125,229936,STOCK-IMAGE
125,229937,STOCK-IMAGE
125,229938,STOCK-IMAGE
125,229939,STOCK-IMAGE
125,230553,STOCK-IMAGE
125,230554,STOCK-IMAGE
125,230555,STOCK-IMAGE
125,230556,STOCK-IMAGE
125,230557,STOCK-IMAGE
125,230558,STOCK-IMAGE
125,230559,STOCK-IMAGE
125,230560,STOCK-IMAGE
125,230967,STOCK-IMAGE
125,230968,STOCK-IMAGE
125,230969,STOCK-IMAGE
125,230970,STOCK-IMAGE
125,244963,STOCK-IMAGE
125,244964,STOCK-IMAGE
125,244965,STOCK-IMAGE
125,244966,STOCK-IMAGE
125,258782,STOCK-IMAGE
125,258783,STOCK-IMAGE
125,275837,STOCK-IMAGE
