curated_category_id,stock_image_id,product_type_id
128,145232,STOCK-IMAGE
128,145233,STOCK-IMAGE
128,29188,STOCK-IMAGE
128,29189,STOCK-IMAGE
128,82898,STOCK-IMAGE
128,14323,STOCK-IMAGE
128,14352,STOCK-IMAGE
128,14415,STOCK-IMAGE
128,14450,STOCK-IMAGE
128,19987,STOCK-IMAGE
128,19988,STOCK-IMAGE
128,20025,STOCK-IMAGE
128,145459,STOCK-IMAGE
128,145640,STOCK-IMAGE
128,145641,STOCK-IMAGE
128,2213,STOCK-IMAGE
128,2464,STOCK-IMAGE
128,20303,STOCK-IMAGE
128,20304,STOCK-IMAGE
128,20305,STOCK-IMAGE
128,20306,STOCK-IMAGE
128,141997,STOCK-IMAGE
128,2805,STOCK-IMAGE
128,2806,STOCK-IMAGE
128,2809,STOCK-IMAGE
128,2810,STOCK-IMAGE
128,2811,STOCK-IMAGE
128,146545,STOCK-IMAGE
128,2994,STOCK-IMAGE
128,2995,STOCK-IMAGE
128,2996,STOCK-IMAGE
128,2997,STOCK-IMAGE
128,25314,STOCK-IMAGE
128,25315,STOCK-IMAGE
128,29711,STOCK-IMAGE
128,3964,STOCK-IMAGE
128,3965,STOCK-IMAGE
128,3968,STOCK-IMAGE
128,3969,STOCK-IMAGE
128,20380,STOCK-IMAGE
128,20382,STOCK-IMAGE
128,20383,STOCK-IMAGE
128,20384,STOCK-IMAGE
128,29772,STOCK-IMAGE
128,29773,STOCK-IMAGE
128,29776,STOCK-IMAGE
128,29777,STOCK-IMAGE
128,86293,STOCK-IMAGE
128,199847,STOCK-IMAGE
128,199848,STOCK-IMAGE
128,86670,STOCK-IMAGE
128,161505,STOCK-IMAGE
128,125762,STOCK-IMAGE
128,138264,STOCK-IMAGE
128,138265,STOCK-IMAGE
128,138386,STOCK-IMAGE
128,138387,STOCK-IMAGE
128,138923,STOCK-IMAGE
128,138924,STOCK-IMAGE
128,224244,STOCK-IMAGE
128,241936,STOCK-IMAGE
128,32035,STOCK-IMAGE
128,32036,STOCK-IMAGE
128,200816,STOCK-IMAGE
128,200817,STOCK-IMAGE
128,32128,STOCK-IMAGE
128,32129,STOCK-IMAGE
128,138520,STOCK-IMAGE
128,138521,STOCK-IMAGE
128,139033,STOCK-IMAGE
128,200868,STOCK-IMAGE
128,200870,STOCK-IMAGE
128,162318,STOCK-IMAGE
128,162319,STOCK-IMAGE
128,162321,STOCK-IMAGE
128,162322,STOCK-IMAGE
128,138572,STOCK-IMAGE
128,138573,STOCK-IMAGE
128,138574,STOCK-IMAGE
128,162314,STOCK-IMAGE
128,174017,STOCK-IMAGE
128,174018,STOCK-IMAGE
128,174023,STOCK-IMAGE
128,174024,STOCK-IMAGE
128,174025,STOCK-IMAGE
128,174026,STOCK-IMAGE
128,138599,STOCK-IMAGE
128,162395,STOCK-IMAGE
128,162452,STOCK-IMAGE
128,39651,STOCK-IMAGE
128,39652,STOCK-IMAGE
128,40090,STOCK-IMAGE
128,40091,STOCK-IMAGE
128,40949,STOCK-IMAGE
128,40950,STOCK-IMAGE
128,40951,STOCK-IMAGE
128,40952,STOCK-IMAGE
128,40953,STOCK-IMAGE
128,40954,STOCK-IMAGE
128,40961,STOCK-IMAGE
128,95771,STOCK-IMAGE
128,151255,STOCK-IMAGE
128,151256,STOCK-IMAGE
128,13113,STOCK-IMAGE
128,198634,STOCK-IMAGE
128,198635,STOCK-IMAGE
128,190162,STOCK-IMAGE
128,190163,STOCK-IMAGE
128,280826,STOCK-IMAGE
128,280827,STOCK-IMAGE
128,280828,STOCK-IMAGE
128,95347,STOCK-IMAGE
128,95348,STOCK-IMAGE
128,74316,STOCK-IMAGE
128,122857,STOCK-IMAGE
128,74430,STOCK-IMAGE
128,123732,STOCK-IMAGE
128,159610,STOCK-IMAGE
128,159609,STOCK-IMAGE
128,123929,STOCK-IMAGE
128,206327,STOCK-IMAGE
128,206328,STOCK-IMAGE
128,95776,STOCK-IMAGE
128,95777,STOCK-IMAGE
128,95778,STOCK-IMAGE
128,95779,STOCK-IMAGE
128,95780,STOCK-IMAGE
128,95781,STOCK-IMAGE
128,78354,STOCK-IMAGE
128,78355,STOCK-IMAGE
128,85139,STOCK-IMAGE
128,85140,STOCK-IMAGE
128,87133,STOCK-IMAGE
128,87134,STOCK-IMAGE
128,87135,STOCK-IMAGE
128,87136,STOCK-IMAGE
128,93369,STOCK-IMAGE
128,93370,STOCK-IMAGE
128,93371,STOCK-IMAGE
128,93403,STOCK-IMAGE
128,93404,STOCK-IMAGE
128,137685,STOCK-IMAGE
128,137686,STOCK-IMAGE
128,137687,STOCK-IMAGE
128,137628,STOCK-IMAGE
128,149788,STOCK-IMAGE
128,151641,STOCK-IMAGE
128,151642,STOCK-IMAGE
128,157705,STOCK-IMAGE
128,157694,STOCK-IMAGE
128,170867,STOCK-IMAGE
