curated_category_id,product_id,product_type
100,217544,STOCK-IMAGE
100,208435,STOCK-IMAGE
100,210773,STOCK-IMAGE
100,246664,STOCK-IMAGE
100,264100,STOCK-IMAGE
100,36416,STOCK-IMAGE
100,36417,STOCK-IMAGE
100,13255,STOCK-IMAGE
100,12864,STOCK-IMAGE
100,198836,STOCK-IMAGE
100,240118,STOCK-IMAGE
100,220188,STOCK-IMAGE
100,232319,STOCK-IMAGE
100,11037,STOCK-IMAGE
100,81860,STOCK-IMAGE
100,24267,STOCK-IMAGE
100,24268,STOCK-IMAGE
100,207277,STOCK-IMAGE
100,310182,STOCK-IMAGE
100,189868,STOCK-IMAGE
100,192974,STOCK-IMAGE
100,157761,STOCK-IMAGE
100,158837,STOCK-IMAGE
100,192247,STOCK-IMAGE
100,158913,STOCK-IMAGE
100,247297,STOCK-IMAGE
100,175136,STOCK-IMAGE
100,175137,STOCK-IMAGE
100,175138,STOCK-IMAGE
100,192823,STOCK-IMAGE
100,194964,STOCK-IMAGE
100,201762,STOCK-IMAGE
100,284552,STOCK-IMAGE
100,261845,STOCK-IMAGE
100,247347,STOCK-IMAGE
100,247360,STOCK-IMAGE
100,257876,STOCK-IMAGE
100,286474,STOCK-IMAGE
100,37041,STOCK-IMAGE
100,73282,STOCK-IMAGE
100,19338,STOCK-IMAGE
100,28973,STOCK-IMAGE
100,49557,STOCK-IMAGE
100,220395,STOCK-IMAGE
100,237801,STOCK-IMAGE
100,237802,STOCK-IMAGE
100,61243,STOCK-IMAGE
100,228933,STOCK-IMAGE
100,286139,STOCK-IMAGE
100,286140,STOCK-IMAGE
100,232556,STOCK-IMAGE
100,279510,STOCK-IMAGE
100,279931,STOCK-IMAGE
100,49249,STOCK-IMAGE
100,169581,STOCK-IMAGE
100,157108,STOCK-IMAGE
100,157172,STOCK-IMAGE
100,157173,STOCK-IMAGE
100,157202,STOCK-IMAGE
100,157259,STOCK-IMAGE
100,167936,STOCK-IMAGE
100,167933,STOCK-IMAGE
