curated_category_id,stock_image_id,product_type_id
120,24649,STOCK-IMAGE
120,145927,STOCK-IMAGE
120,146004,STOCK-IMAGE
120,24837,STOCK-IMAGE
120,24841,STOCK-IMAGE
120,24842,STOCK-IMAGE
120,24844,STOCK-IMAGE
120,24846,STOCK-IMAGE
120,24848,STOCK-IMAGE
120,24849,STOCK-IMAGE
120,24850,STOCK-IMAGE
120,2851,STOCK-IMAGE
120,25157,STOCK-IMAGE
120,25163,STOCK-IMAGE
120,25164,STOCK-IMAGE
120,25170,STOCK-IMAGE
120,25171,STOCK-IMAGE
120,25173,STOCK-IMAGE
120,146757,STOCK-IMAGE
120,146759,STOCK-IMAGE
120,41088,STOCK-IMAGE
120,12879,STOCK-IMAGE
120,12259,STOCK-IMAGE
120,11910,STOCK-IMAGE
120,36953,STOCK-IMAGE
120,80560,STOCK-IMAGE
120,197457,STOCK-IMAGE
120,139949,STOCK-IMAGE
120,161148,STOCK-IMAGE
120,225343,STOCK-IMAGE
120,184521,STOCK-IMAGE
120,88369,STOCK-IMAGE
120,151368,STOCK-IMAGE
120,159998,STOCK-IMAGE
120,142746,STOCK-IMAGE
120,10051,STOCK-IMAGE
120,151121,STOCK-IMAGE
120,246928,STOCK-IMAGE
120,77831,STOCK-IMAGE
120,77831,STOCK-IMAGE
120,304566,STOCK-IMAGE
120,27822,STOCK-IMAGE
120,27834,STOCK-IMAGE
120,27800,STOCK-IMAGE
120,27800,STOCK-IMAGE
120,27802,STOCK-IMAGE
120,42470,STOCK-IMAGE
120,196507,STOCK-IMAGE
120,196507,STOCK-IMAGE
120,76774,STOCK-IMAGE
120,275290,STOCK-IMAGE
120,45554,STOCK-IMAGE
120,45555,STOCK-IMAGE
120,45556,STOCK-IMAGE
120,45568,STOCK-IMAGE
120,253689,STOCK-IMAGE
120,253690,STOCK-IMAGE
120,253691,STOCK-IMAGE
120,105007,STOCK-IMAGE
120,214330,STOCK-IMAGE
120,214331,STOCK-IMAGE
120,214332,STOCK-IMAGE
120,214333,STOCK-IMAGE
120,303774,STOCK-IMAGE
120,303775,STOCK-IMAGE
120,149009,STOCK-IMAGE
120,117987,STOCK-IMAGE
120,56143,STOCK-IMAGE
120,276240,STOCK-IMAGE
120,103576,STOCK-IMAGE
120,103577,STOCK-IMAGE
120,103579,STOCK-IMAGE
120,103581,STOCK-IMAGE
